TestCaseID,BuildID,ExecutionTime,Environment,Browser,Module,FailedStep,ErrorMessage,StackTraceSnippet,Locator,APIResponse,Duration(ms),RetryCount,Status
TC_DELETE_EMP_028,B1022,1/20/2026 11:50,QA,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30157,3,FAIL
TC_VIEW_EMP_004,B1048,1/20/2026 11:52,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7081,0,PASS
TC_LOGIN_033,B1046,1/20/2026 11:54,QA,Firefox,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,5865,0,PASS
TC_DELETE_EMP_024,B1010,1/20/2026 11:56,UAT,Edge,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32085,1,FAIL
TC_PURCHASE_015,B1036,1/20/2026 11:58,UAT,Chrome,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34446,2,FAIL
TC_ADD_EMP_015,B1021,1/20/2026 12:00,QA,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30769,3,FAIL
TC_ADD_EMP_038,B1006,1/20/2026 12:02,QA,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31555,2,FAIL
TC_ADD_EMP_044,B1005,1/20/2026 12:04,QA,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19377,0,FAIL
TC_VIEW_EMP_041,B1048,1/20/2026 12:06,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4559,0,PASS
TC_LOGIN_020,B1016,1/20/2026 12:08,QA,Edge,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17360,0,FAIL
TC_PURCHASE_037,B1013,1/20/2026 12:10,Staging,Edge,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,5174,0,PASS
TC_PURCHASE_030,B1039,1/20/2026 12:12,QA,Chrome,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3891,0,PASS
TC_VIEW_PRODUCT_003,B1048,1/20/2026 12:14,QA,Firefox,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30193,2,FAIL
TC_ADD_EMP_047,B1026,1/20/2026 12:16,UAT,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34210,2,FAIL
TC_DELETE_EMP_047,B1050,1/20/2026 12:18,Staging,Edge,Employee,Delete Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15542,1,FAIL
TC_ADD_CART_036,B1017,1/20/2026 12:20,UAT,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,5030,0,PASS
TC_LOGIN_011,B1017,1/20/2026 12:22,Staging,Edge,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17204,1,FAIL
TC_LOGIN_004,B1030,1/20/2026 12:24,UAT,Firefox,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16437,0,FAIL
TC_ADD_EMP_019,B1012,1/20/2026 12:26,QA,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18626,1,FAIL
TC_VIEW_EMP_036,B1019,1/20/2026 12:28,UAT,Edge,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46661,0,FAIL
TC_ADD_EMP_018,B1003,1/20/2026 12:30,UAT,Edge,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15910,0,FAIL
TC_ADD_EMP_008,B1028,1/20/2026 12:32,QA,Edge,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6328,0,PASS
TC_LOGIN_012,B1040,1/20/2026 12:34,Staging,Chrome,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,2959,0,PASS
TC_EDIT_EMP_027,B1039,1/20/2026 12:36,UAT,Edge,Employee,Edit Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49305,0,FAIL
TC_ADD_EMP_015,B1013,1/20/2026 12:38,UAT,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30988,1,FAIL
TC_VIEW_PRODUCT_007,B1047,1/20/2026 12:40,Staging,Firefox,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31411,3,FAIL
TC_ADD_CART_034,B1049,1/20/2026 12:42,QA,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32866,1,FAIL
TC_EDIT_EMP_023,B1003,1/20/2026 12:44,QA,Chrome,Employee,Edit Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33245,2,FAIL
TC_ADD_EMP_004,B1010,1/20/2026 12:46,Staging,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15486,1,FAIL
TC_LOGIN_022,B1025,1/20/2026 12:48,Staging,Firefox,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18980,0,FAIL
TC_DELETE_EMP_028,B1009,1/20/2026 12:50,QA,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32281,2,FAIL
TC_DELETE_EMP_018,B1020,1/20/2026 12:52,UAT,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5025,0,PASS
TC_PURCHASE_048,B1031,1/20/2026 12:54,Staging,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3847,0,PASS
TC_ADD_CART_040,B1002,1/20/2026 12:56,Staging,Edge,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,4157,0,PASS
TC_PURCHASE_008,B1030,1/20/2026 12:58,UAT,Chrome,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48384,0,FAIL
TC_ADD_CART_017,B1013,1/20/2026 13:00,QA,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,7923,0,PASS
TC_RENT_007,B1047,1/20/2026 13:02,UAT,Edge,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32172,2,FAIL
TC_ADD_CART_001,B1014,1/20/2026 13:04,Staging,Edge,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30207,3,FAIL
TC_PURCHASE_016,B1035,1/20/2026 13:06,QA,Firefox,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31068,3,FAIL
TC_LOGIN_034,B1028,1/20/2026 13:08,UAT,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32724,1,FAIL
TC_LOGIN_024,B1024,1/20/2026 13:10,Staging,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34735,2,FAIL
TC_RENT_011,B1000,1/20/2026 13:12,UAT,Edge,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15582,0,FAIL
TC_ADD_EMP_021,B1023,1/20/2026 13:14,Staging,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7941,0,PASS
TC_RENT_009,B1026,1/20/2026 13:16,Staging,Firefox,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,4630,0,PASS
TC_VIEW_EMP_034,B1013,1/20/2026 13:18,UAT,Chrome,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5409,0,PASS
TC_ADD_CART_044,B1050,1/20/2026 13:20,QA,Edge,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,7004,0,PASS
TC_DELETE_EMP_044,B1004,1/20/2026 13:22,Staging,Firefox,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48431,0,FAIL
TC_EDIT_EMP_014,B1031,1/20/2026 13:24,UAT,Chrome,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4070,0,PASS
TC_ADD_CART_040,B1007,1/20/2026 13:26,UAT,Firefox,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15266,0,FAIL
TC_PURCHASE_048,B1007,1/20/2026 13:28,Staging,Edge,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32238,3,FAIL
TC_VIEW_EMP_042,B1029,1/20/2026 13:30,QA,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7834,0,PASS
TC_PURCHASE_027,B1011,1/20/2026 13:32,UAT,Chrome,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32345,3,FAIL
TC_LOGIN_017,B1022,1/20/2026 13:34,Staging,Chrome,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33239,3,FAIL
TC_ADD_EMP_001,B1032,1/20/2026 13:36,QA,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31025,2,FAIL
TC_VIEW_EMP_021,B1044,1/20/2026 13:38,QA,Chrome,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45321,0,FAIL
TC_ADD_EMP_026,B1030,1/20/2026 13:40,Staging,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15910,1,FAIL
TC_DELETE_EMP_038,B1019,1/20/2026 13:42,UAT,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2567,0,PASS
TC_VIEW_EMP_047,B1050,1/20/2026 13:44,UAT,Chrome,Employee,View Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17616,1,FAIL
TC_DELETE_EMP_016,B1001,1/20/2026 13:46,QA,Chrome,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3850,0,PASS
TC_LOGIN_001,B1016,1/20/2026 13:48,UAT,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4347,0,PASS
TC_VIEW_PRODUCT_033,B1024,1/20/2026 13:50,QA,Firefox,Ecommerce,View Product,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49978,0,FAIL
